Flight Code, Airline Name                           , Departure Time, Arrival Time, Duration, Stops, Price   , Departure City, Arrival City, Travel Class, Date of Travel
VJ-123     , VietJet Air                            , 22:10         , 06:55       , 8h 45m  ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-187     , VietJet Air                            , 22:50         , 14:05       , 15h 15m ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-123     , VietJet Air                            , 22:10         , 14:05       , 15h 55m ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-187     , VietJet Air                            , 22:50         , 18:00       , 19h 10m ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-123     , VietJet Air                            , 22:10         , 18:00       , 19h 50m ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-187     , VietJet Air                            , 22:50         , 20:35       , 21h 45m ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-123     , VietJet Air                            , 22:10         , 20:35       , 22h 25m ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-187     , VietJet Air                            , 22:50         , 21:40       , 22h 50m ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-123     , VietJet Air                            , 22:10         , 21:40       , 23h 30m ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-187     , VietJet Air                            , 22:50         , 22:30       , 23h 40m ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-123     , VietJet Air                            , 22:10         , 22:30       , 24h 20m ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-137     , VietJet Air                            , 11:45         , 18:10       , 6h 25m  ,     1,  3227364, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-135     , VietJet Air                            , 11:10         , 18:10       , 7h 0m   ,     1,  3227364, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-137     , VietJet Air                            , 11:45         , 14:05       , 26h 20m ,     1,  3254736, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-135     , VietJet Air                            , 11:10         , 14:05       , 26h 55m ,     1,  3254736, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-171     , VietJet Air                            , 23:25         , 06:55       , 7h 30m  ,     1,  3277530, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-161     , VietJet Air                            , 21:50         , 06:55       , 9h 5m   ,     1,  3277530, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-171     , VietJet Air                            , 23:25         , 14:05       , 14h 40m ,     1,  3277530, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-171     , VietJet Air                            , 23:25         , 18:00       , 18h 35m ,     1,  3277530, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-171     , VietJet Air                            , 23:25         , 20:35       , 21h 10m ,     1,  3277530, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-171     , VietJet Air                            , 23:25         , 21:40       , 22h 15m ,     1,  3277530, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-171     , VietJet Air                            , 23:25         , 22:30       , 23h 5m  ,     1,  3277530, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-155     , VietJet Air                            , 20:05         , 06:55       , 10h 50m ,     1,  3385985, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-193     , VietJet Air                            , 18:10         , 06:55       , 12h 45m ,     1,  3385985, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-163     , VietJet Air                            , 17:20         , 06:55       , 13h 35m ,     1,  3385985, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-147     , VietJet Air                            , 17:10         , 06:55       , 13h 45m ,     1,  3385985, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
QH-211     , "Bamboo Airways, VietJet Air"          , 10:10         , 18:10       , 8h 0m   ,     1,  3477728, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VU-771     , "Vietravel Airlines, VietJet Air"      , 10:50         , 18:10       , 7h 20m  ,     1,  3506535, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-199     , VietJet Air                            , 15:55         , 22:30       , 6h 35m  ,     1,  3531255, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-191     , VietJet Air                            , 15:55         , 22:30       , 6h 35m  ,     1,  3531255, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-191     , VietJet Air                            , 15:55         , 12:25       , 20h 30m ,     1,  3547302, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-199     , VietJet Air                            , 15:55         , 12:25       , 20h 30m ,     1,  3576715, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
9G-853     , "SUN PhuQuoc AIRWAYS, VietJet Air"     , 15:15         , 21:40       , 6h 25m  ,     1,  3646342, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-151     , VietJet Air                            , 14:00         , 20:35       , 6h 35m  ,     1,  3648168, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-151     , VietJet Air                            , 14:00         , 21:40       , 7h 40m  ,     1,  3648168, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-161     , "VietJet Air, Vietnam Airlines"        , 00:15         , 07:15       , 7h 0m   ,     1,  3764135, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-135     , "VietJet Air, Vietnam Airlines"        , 11:10         , 17:05       , 5h 55m  ,     1,  4078626, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
